Line Number,Location path code,selection,source,word,menu,menu_ff,full_pattern,menu_pattern,button,menu_title,is_menu,menu_multiplicity,multiplicity,Training/ Spontaneous,Utterance: Single word or phrase,Type of Sign,is_match,match_type
70,,MOM,FINAL,Mom,,EXPERIENCE,,,,,,,,,,,false,
71,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT ,,,,,,,,,,,false,
72,,OUTSIDE,MENU,,OUTSIDE,OUTSIDE,,,,,,,,,,,false,
73,,OUTSIDE,MENU,,OUTSIDE,OUTSIDE,,,,,,,,,,,false,
74,,COLD,MENU,,COLD,COLD,ABF,AB,F,TEMP AND WEATHER,true,1,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
75,,HOT,MENU,,HOT,HOT,ABC,AB,C,TEMP AND WEATHER,true,1,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
76,,HOT OUTSIDE,FINAL,Hot outside,,HOT,ABCF,ABC,F,HOT,false,,1,Generalized,Phrase,Photo,true,UNIQUE_MATCH
77,,HOT OUTSIDE,FINAL,Hot outside,,HOT,ABCF,ABC,F,HOT,false,,1,Generalized,Phrase,Photo,true,UNIQUE_MATCH
78,,HOT OUTSIDE,FINAL,Hot outside,,HOT,ABCF,ABC,F,HOT,false,,1,Generalized,Phrase,Photo,true,UNIQUE_MATCH
79,,I FEEL HOT,FINAL,I feel hot,,HOT,ABCB,ABC,B,HOT,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
80,,HOT OUTSIDE,FINAL,Hot outside,,HOT,ABCF,ABC,F,HOT,false,,1,Generalized,Phrase,Photo,true,UNIQUE_MATCH
81,,I FEEL HOT,FINAL,I feel hot,,HOT,ABCB,ABC,B,HOT,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
82,,HOT OUTSIDE,FINAL,Hot outside,,HOT,ABCF,ABC,F,HOT,false,,1,Generalized,Phrase,Photo,true,UNIQUE_MATCH
83,,I FEEL HOT,FINAL,I feel hot,,HOT,ABCB,ABC,B,HOT,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
84,,I WANT TO FEEL HOT,FINAL,I want to Feel Hot,,HOT,ABCD,ABC,D,HOT,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
85,,HOT OUTSIDE,FINAL,Hot outside,,HOT,ABCF,ABC,F,HOT,false,,1,Generalized,Phrase,Photo,true,UNIQUE_MATCH
87,,PLACES,MENU,,PLACES,PLACES,I,"",I,MAIN MENU,true,1,1,Trained,Single Word,Photo,true,UNIQUE_MATCH
88,,SOFA BASKET,FINAL,Sofa basket,,PLACES,IC,I,C,PLACES,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
89,,TO PLAY,MENU,,TO PLAY,TO PLAY,D,"",D,MAIN MENU,true,1,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
90,,TRACING,FINAL,Tracing,,TO PLAY,,,,,,,,,,,false,
91,,CRAFTS,FINAL,Crafts,,TO PLAY,DK,D,K,TO PLAY,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
92,,TRACING,FINAL,Tracing,,TO PLAY,,,,,,,,,,,false,
93,,CRAFTS,FINAL,Crafts,,TO PLAY,DK,D,K,TO PLAY,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
94,,HAPPY,FINAL,Happy,,TO PLAY,EB,E,B,FEELING,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
95,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
96,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
97,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
98,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
99,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
100,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
101,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
102,,SEED BALL,FINAL,Seed ball,,TO PLAY,LD,L,D,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
