Line Number,Location path code,selection,source,word,menu,menu_ff
193,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
194,,BIRD FRIENDS,MENU,,BIRD FRIENDS,BIRD FRIENDS
196,,"SKITTLES, SQUEE AND YAYA",FINAL,"Skittles, Squee and Yaya",,BIRD FRIENDS
199,,TO PLAY,MENU,,TO PLAY,TO PLAY
200,,TRACING,FINAL,Tracing,,TO PLAY
201,,TRACING,FINAL,Tracing,,TO PLAY
202,,SNUGGLE,FINAL,Snuggle,,TO PLAY
203,,WRITING,FINAL,Writing,,TO PLAY
204,,SNUGGLE,FINAL,Snuggle,,TO PLAY
205,,BOOK,MENU,,BOOK,BOOK
206,,TOUCH AND FEEL,FINAL,Touch and Feel,,BOOK
207,,BOOK,MENU,,BOOK,BOOK
208,,TOUCH AND FEEL,FINAL,Touch and Feel,,BOOK
209,,THEME,MENU,,THEME,THEME
210,,SNUGGLE,FINAL,Snuggle,,THEME
211,,TRACING,FINAL,Tracing,,THEME
212,,BOOK,MENU,,BOOK,BOOK
213,,THEME,MENU,,THEME,THEME
214,,ANIMALS,MENU,,ANIMALS,ANIMALS
215,,FANTASY,MENU,,FANTASY,FANTASY
216,,UNICORN,FINAL,Unicorn,,FANTASY
217,,DRAGONS,FINAL,Dragons,,FANTASY
218,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
219,,ANIMALS,MENU,,ANIMALS,ANIMALS
220,,EASTER BABIES,FINAL,Easter Babies,,ANIMALS
221,,EASTER BABIES,FINAL,Easter Babies,,ANIMALS
222,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
223,,FANTASY,MENU,,FANTASY,FANTASY
224,,FAIRIES,FINAL,Fairies,,FANTASY
225,,DRAGONS,FINAL,Dragons,,FANTASY
226,,FAIRIES,FINAL,Fairies,,FANTASY
227,,UNICORNS,FINAL,Unicorns,,FANTASY
228,,FAIRIES,FINAL,Fairies,,FANTASY
229,,BOOK,MENU,,BOOK,BOOK
230,,POP UP,FINAL,Pop up,,BOOK
231,,TOUCH AND FEEL,FINAL,Touch and Feel,,BOOK
232,,READING BOOK,FINAL,Reading book,,BOOK
237,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
238,,BIRD FRIENDS,MENU,,BIRD FRIENDS,BIRD FRIENDS
239,,COOKIE,FINAL,Cookie,,BIRD FRIENDS
241,,COOKIE,FINAL,Cookie,,BIRD FRIENDS
242,,COOKIE,FINAL,Cookie,,BIRD FRIENDS
243,,SKITTLES SQUEE YAYA,FINAL,Skittles Squee Yaya,,BIRD FRIENDS
244,,SKITTLES SQUEE YAYA,FINAL,Skittles Squee Yaya,,BIRD FRIENDS
245,,SKITTLES SQUEE YAYA,FINAL,Skittles Squee Yaya,,BIRD FRIENDS
246,,SKITTLES SQUEE YAYA,FINAL,Skittles Squee Yaya,,BIRD FRIENDS
247,,SKITTLES SQUEE YAYA,FINAL,Skittles Squee Yaya,,BIRD FRIENDS
248,,SKITTLES SQUEE YAYA,FINAL,Skittles Squee Yaya,,BIRD FRIENDS
249,,LITTLE LOU,FINAL,Little Lou,,BIRD FRIENDS
250,,SKITTLES SQUEE YAYA,FINAL,Skittles Squee Yaya,,BIRD FRIENDS
251,,SKITTLES SQUEE YAYA,FINAL,Skittles Squee Yaya,,BIRD FRIENDS
252,,COOKIE,FINAL,Cookie,,BIRD FRIENDS
253,,LITTLE LOU,FINAL,LIttle Lou,,BIRD FRIENDS
254,,COOKIE,FINAL,Cookie,,BIRD FRIENDS
255,,SKITTLES SQUEE YAYA,FINAL,Skittles Squee Yaya,,BIRD FRIENDS
256,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
