row_number,selection,source,word,menu,menu_ff
330,BIRD FRIENDS,MENU,,Bird friends,Bird friends
331,LITTLE LOU,FINAL,Little Lou,,Bird friends
332,"SKITTLES, SQUEE AND YAYA",FINAL,"Skittles, Squee and Yaya",,Bird friends
333,SKITTLES SQUEE AND YAYA,FINAL,Skittles Squee and Yaya,,Bird friends
334,SKITTLES SQUEE AND YAYA,FINAL,Skittles Squee and Yaya,,Bird friends
335,LITTLE LOU,FINAL,Little Lou,,Bird friends
336,SKITTLES SQUEE AND YAYA,FINAL,Skittles Squee and Yaya,,Bird friends
337,FEELING,MENU,,Feeling,Feeling
338,SAD,FINAL,Sad,,Feeling
339,HAPPY,FINAL,Happy,,Feeling
340,MAD,FINAL,Mad,,Feeling
341,HAPPY,FINAL,Happy,,Feeling
342,HAPPY,FINAL,Happy,,Feeling
343,HAPPY,FINAL,Happy,,Feeling
344,EXCITED,FINAL,Excited,,Feeling
345,EXCITED,FINAL,Excited,,Feeling
346,EXCITED,FINAL,Excited,,Feeling
347,HAPPY,FINAL,Happy,,Feeling
348,EXCITED,FINAL,Excited,,Feeling
349,HAPPY,FINAL,Happy,,Feeling
350,TO PLAY,MENU,,To play,To play
351,BOOK,MENU,,Book,Book
352,SEASONAL,MENU,,Seasonal,Seasonal
353,HALLOWEEN,FINAL,Halloween,,Seasonal
354,EASTER,FINAL,Easter,,Seasonal
355,EASTER,FINAL,Easter,,Seasonal
356,EASTER,FINAL,Easter,,Seasonal
357,HALLOWEEN,FINAL,Halloween,,Seasonal
358,EASTER,FINAL,Easter,,Seasonal
359,HALLOWEEN,FINAL,Halloween,,Seasonal
360,EXPERIENCE,MENU,,Experience,Experience
361,TOUCH,FINAL,Touch,,Experience
362,SEE,FINAL,See,,Experience
363,SMELL,FINAL,Smell,,Experience
364,BOOK,MENU,,Book,Book
365,TOUCH AND FEEL,FINAL,Touch and Feel,,Book
366,TOUCH AND FEEL,FINAL,Touch and Feel,,Book
367,TO PLAY,MENU,,To play,To play
368,SNUGGLE,FINAL,Snuggle,,To play
369,PLAY OUTSIDE,FINAL,Play outside,,To play
370,BOOK,MENU,,Book,Book
371,READING BOOK,MENU,,Reading book,Reading book
372,ONE WORD,FINAL,One word,,Reading book
373,TRACING,FINAL,Tracing,,Reading book
374,SNUGGLE,FINAL,Snuggle,,Reading book
375,SAY HELLO TO,MENU,,Say hello to,Say hello to
376,MOM,FINAL,Mom,,Say hello to
377,CAR RIDE,FINAL,Car ride,,Say hello to
378,CORI,FINAL,Cori,,Say hello to
379,CAR RIDE,FINAL,Car ride,,Say hello to
380,MOM,FINAL,Mom ,,Say hello to
381,OUTSIDE WALK,FINAL,Outside walk,,Say hello to
382,MOM,FINAL,Mom,,Say hello to
383,SAY HELLO TO,MENU,,Say hello to,Say hello to
384,SISTER,MENU,,Sister,Sister
385,TILLIE,FINAL,Tillie,,Sister
386,EXPERIENCE,MENU,,Experience,Experience
387,MOM,FINAL,Mom,,Experience
388,ISABELLE,FINAL,Isabelle,,Experience
389,ISABELLE,FINAL,Isabelle,,Experience
390,TASTE,FINAL,Taste,,Experience
391,TOUCH,FINAL,Touch,,Experience
392,MOM,FINAL,mom,,Experience
393,TOUCH,FINAL,Touch,,Experience
394,TILLIE,FINAL,Tillie,,Experience
395,TOUCH,FINAL,Touch,,Experience
396,ISABELLE,FINAL,Isabelle,,Experience
397,TO PLAY,MENU,,To play,To play
398,SNUGGLE,FINAL,Snuggle,,To play
399,BOOK,MENU,,Book,Book
400,READING BOOK,FINAL,Reading Book,,Book
401,TOUCH AND FEEL,FINAL,Touch and feel,,Book
402,TO PLAY,MENU,,To play,To play
403,SNUGGLE,FINAL,snuggle,,To play
404,GAMES,MENU,,Games,Games
405,NUMBER MATCH,FINAL,Number Match,,Games
406,FEELING,MENU,,Feeling,Feeling
407,HAPPY,FINAL,Happy,,Feeling
408,HAPPY,FINAL,Happy,,Feeling
409,HAPPY,FINAL,Happy,,Feeling
410,NO LIKE,FINAL,No like,,Feeling
411,TO PLAY,MENU,,To play,To play
412,SNUGGLE,FINAL,snuggle,,To play
413,GAMES,MENU,,Games,Games
414,NUMBER MATCH,FINAL,number match,,Games
415,MUSIC,MENU,,Music,Music
416,BEETHOVEN & DVORAK,FINAL,Beethoven and Dvorak,,Music
417,TEMP AND WEATHER,MENU,,Temp and Weather,Temp and Weather
418,HOT,MENU,,Hot,Hot
419,HOT WIND BLOW DRYER,FINAL,Hot wind Blow dryer,,Hot
420,SAY HELLO TO,MENU,,Say hello to,Say hello to
421,BIRD FRIENDS,MENU,,Bird friends,Bird friends
422,COOKIE,FINAL,Cookie,,Bird friends
423,COOKIE,FINAL,Cookie,,Bird friends
424,COOKIE,FINAL,Cookie,,Bird friends
425,COOKIE,FINAL,Cookie,,Bird friends
426,SAY HELLO TO,MENU,,Say hello to,Say hello to
427,FEELING,MENU,,Feeling,Feeling
428,HAPPY,FINAL,Happy,,Feeling
429,HAPPY,FINAL,Happy,,Feeling
430,HAPPY,FINAL,Happy,,Feeling
431,SAY HELLO TO,MENU,,Say hello to,Say hello to
432,FEELING,MENU,,Feeling,Feeling
433,HAPPY,FINAL,Happy,,Feeling
434,HAPPY,FINAL,Happy,,Feeling
435,TALK ABOUT,MENU,,Talk about,Talk about
436,HOLIDAY,FINAL,Holiday,,Talk about
437,TEMP AND WEATHER,MENU,,Temp and Weather,Temp and Weather
438,COOL,MENU,,Cool,Cool
439,I FEEL COOL,FINAL,I feel cool,,Cool
440,I WANT TO FEEL COOL,FINAL,I want to feel cool,,Cool
441,SAY HELLO TO,MENU,,Say hello to,Say hello to
442,CORI,FINAL,Cori,,Say hello to
443,CORI,FINAL,Cori,,Say hello to
444,TALK ABOUT,MENU,,Talk about,Talk about
445,TEMP AND WEATHER,FINAL,Temp and Weather,,Talk about
446,FEELING,FINAL,Feeling,,Talk about
447,TO PLAY,MENU,,To play,To play
448,SNUGGLE,FINAL,Snuggle,,To play
449,BOOK,MENU,,Book,Book
450,TOUCH AND FEEL,FINAL,Touch and Feel,,Book
451,EXPERIENCE,MENU,,Experience,Experience
452,TILLIE,FINAL,Tillie,,Experience
453,SMELL,FINAL,Smell,,Experience
454,SMELL,FINAL,Smell,,Experience
455,TASTE,FINAL,Taste,,Experience
456,SMELL,FINAL,Smell,,Experience
