Line Number,full_pattern,menu_pattern,button,selection,Category,Training/ Spontaneous,Utterance: Single word or phrase,Type of Sign,menu_title,is_menu,menu_multiplicity,multiplicity
151,BI,B,I,OUTSIDE WALK,Space-Temporal,Trained - Repeated,Phrase,Photo,SAY HELLO TO,false,,2
152,BJA,BJ,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,SISTERS,false,,30
153,BJB,BJ,B,ELLIE,Family & Friends,Trained - Repeated,Single Word,Photo,SISTERS,false,,2
154,BJC,BJ,C,ISABELLE,Family & Friends,Trained - Repeated,Single Word,Photo,SISTERS,false,,2
155,BJD,BJ,D,TILLIE,Family & Friends,Trained - Repeated,Single Word,Photo,SISTERS,false,,2
156,BK,B,K,TALK ABOUT,Navigation,Trained - Repeated,Phrase,Abstract Sign,SAY HELLO TO,true,2,2
157,BKA,BK,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,TALK ABOUT,false,,30
158,BKB,BK,B,FEELING,Self/State,Trained - Repeated,Single Word,Drawing,TALK ABOUT,false,,1
159,BKC,BK,C,TEMP AND WEATHER,Self/State,Trained - Repeated,Phrase,Photo,TALK ABOUT,false,,1
160,CA,C,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,EXPERIENCE,false,,30
161,CB,C,B,MOM,Family & Friends,Trained - Repeated,Single Word,Photo,EXPERIENCE,false,,2
162,CG,C,G,ELLIE,Family & Friends,Trained - Repeated,Single Word,Photo,EXPERIENCE,false,,2
163,CH,C,H,TILLIE,Family & Friends,Trained - Repeated,Single Word,Photo,EXPERIENCE,false,,2
164,CI,C,I,ISABELLE,Family & Friends,Trained - Repeated,Single Word,Photo,EXPERIENCE,false,,2
165,DA,D,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,TO PLAY,false,,30
166,DCA,DC,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,BOOK,false,,30
167,DCEA,DCE,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,READING BOOK,false,,30
168,DCF,DC,F,SEASONAL,Navigation,Trained - Repeated,Single Word,Photo,BOOK,true,2,2
169,DCFA,DCF,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,SEASONAL,false,,30
170,DCFB,DCF,B,CHRISTMAS,Socio-Cognitive,Trained - Repeated,Single Word,Drawing,SEASONAL,false,,1
171,DCFC,DCF,C,HALLOWEEN,Socio-Cognitive,Trained - Repeated,Single Word,Photo,SEASONAL,false,,1
172,DCFD,DCF,D,EASTER,Socio-Cognitive,Trained - Repeated,Single Word,Photo,SEASONAL,false,,1
173,DCGA,DCG,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,THEME,false,,30
174,DCGB,DCG,B,FANTASY,Navigation,Trained - Repeated,Single Word,Drawing,THEME,true,2,2
175,DCGBA,DCGB,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,FANTASY,false,,30
176,DCGBB,DCGB,B,UNICORNS,Socio-Cognitive,Trained - Repeated,Single Word,Drawing,FANTASY,false,,1
177,DCGBC,DCGB,C,DRAGONS,Socio-Cognitive,Trained - Repeated,Single Word,Drawing,FANTASY,false,,1
178,DCGBD,DCGB,D,FAIRIES,Socio-Cognitive,Trained - Repeated,Single Word,Drawing,FANTASY,false,,1
179,DCGC,DCG,C,ANIMALS,Socio-Cognitive,Trained - Repeated,Single Word,Drawing,THEME,false,,1
180,DF,D,F,TRACING,Socio-Cognitive,Trained - Repeated,Single Word,Photo,TO PLAY,false,,2
181,DG,D,G,PLAY OUTSIDE,Space-Temporal,Trained - Repeated,Phrase,Drawing,TO PLAY,false,,1
182,DI,D,I,GAMES,Socio-Cognitive,Trained - Repeated,Single Word,Drawing,TO PLAY,false,,1
183,E,"",E,FEELING,Navigation,Trained - Repeated,Single Word,Abstract Sign,MAIN MENU,true,1,1
184,EA,E,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,FEELING,false,,30
185,F,"",F,GAMES,Navigation,Trained - Repeated,Single Word,Drawing,MAIN MENU,true,1,1
186,FA,F,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,GAMES,false,,30
187,FC,F,C,TRACING,Socio-Cognitive,Trained - Repeated,Single Word,Photo,GAMES,false,,2
188,GA,G,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,TO EAT,false,,30
189,HA,H,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,TO DRINK,false,,30
190,IA,I,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,PLACES,false,,30
191,IE,I,E,OUTSIDE WALK,Space-Temporal,Trained - Repeated,Phrase,Photo,PLACES,false,,2
192,JA,J,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,MUSIC,false,,30
193,KA,K,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,CARTOONS,false,,30
194,KE,K,E,SEASONAL,Navigation,Trained - Repeated,Single Word,Photo,CARTOONS,true,2,2
195,KEA,KE,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,SEASONAL,false,,30
196,KFA,KF,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,THEMES,false,,30
197,KFB,KF,B,FANTASY,Resources,Trained - Repeated,Single Word,Drawing,THEMES,false,,1
198,KFF,KF,F,MUSIC,Resources,Trained - Repeated,Single Word,Drawing,THEMES,false,,2
199,LA,L,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,TREATS,false,,30
200,GG,G,G,COOK BREAKFAST,Action,Untrained - Discovered,Phrase,Abstract Sign,TO EAT,false,,1
201,GH,G,H,MOM COOK DINNER,Action,Untrained - Discovered,Phrase,Abstract Sign,TO EAT,false,,1
202,KFC,KF,C,PLANTS AND OUTSIDE,Resources,Untrained - Unused,Phrase,Photo,THEMES,false,,1
203,KFD,KF,D,PATTERNS,Resources,Untrained - Unused,Single Word,Photo,THEMES,false,,1
204,KFE,KF,E,LETTERS AND WORDS,Resources,Untrained - Unused,Phrase,Photo,THEMES,false,,1
205,KG,K,G,BUBBLE GUPPIES,Resources,Untrained - Unused,Phrase,Photo,CARTOONS,false,,1
206,ABB,AB,B,"",,,,,TEMP AND WEATHER,false,,14
207,ABCC,ABC,C,"",,,,,HOT,false,,14
208,ABDD,ABD,D,"",,,,,WARM,false,,14
209,ABEE,ABE,E,"",,,,,COOL,false,,14
210,ABFF,ABF,F,"",,,,,COLD,false,,14
211,ABG,AB,G,,,,,,TEMP AND WEATHER,false,,1
212,ACC,AC,C,"",,,,,FANTASY,false,,14
213,BB,B,B,"",,,,,SAY HELLO TO,false,,14
214,CC,C,C,"",,,,,EXPERIENCE,false,,14
215,DCC,DC,C,"",,,,,BOOK,false,,14
216,DD,D,D,"",,,,,TO PLAY,false,,14
217,EE,E,E,"",,,,,FEELING,false,,14
218,EG,E,G,"",,,,,FEELING,false,,14
219,FE,F,E,"",,,,,GAMES,false,,14
220,GE,G,E,"",,,,,TO EAT,false,,14
