selection,iteration,is_menu,len
OCTOPUS,iteration_3,false,1
OLD HOUSE,iteration_3,false,1
OLDIES,iteration_2,false,1
OMELET,iteration_1,false,1
ONE WORD,iteration_2,false,1
ONE WORD,iteration_3,false,1
OPPOSITES,iteration_3,true,1
OUCH,iteration_3,false,1
OUCH MEDICINE,iteration_3,false,1
OUT,iteration_3,false,1
OUTSIDE,iteration_1,false,1
OUTSIDE,iteration_3,false,2
OUTSIDE AVIARY,iteration_3,false,2
OUTSIDE OUCH,iteration_3,false,1
OUTSIDE SHOWER,iteration_2,false,1
OUTSIDE SHOWER,iteration_3,false,1
OUTSIDE WALK,iteration_2,false,2
OUTSIDE WALK,iteration_3,false,3
PAPERS,iteration_3,false,1
PAST,iteration_3,false,13
PATTERNS,iteration_2,false,1
PEAR,iteration_3,false,1
PEPPA PIG,iteration_1,false,1
PEPPA PIG,iteration_2,false,1
PEPPA PIG,iteration_3,false,1
PIANO,iteration_2,false,1
PIANO,iteration_3,false,1
PLACES,iteration_2,true,1
PLACES,iteration_3,true,1
PLANETS CLOSE BIG,iteration_3,false,1
PLANETS FAR SMALL,iteration_3,false,1
PLANTS,iteration_3,false,1
PLANTS AND OUTSIDE,iteration_2,false,1
PLAY OUTSIDE,iteration_2,false,1
PLAY OUTSIDE,iteration_3,false,1
PLAY STAND,iteration_2,false,1
PLAYSTAND,iteration_3,false,1
POP IMAGINE DRAGONS,iteration_3,false,1
POP JASON MRAZ,iteration_3,false,1
POP UP,iteration_2,false,1
POP-UP,iteration_3,false,1
PRESENTS,iteration_3,false,1
PUMPKIN,iteration_3,false,2
PUPPY,iteration_3,false,1
PUZZLE,iteration_2,false,1
PUZZLE,iteration_3,false,1
PUZZLE WORLD,iteration_3,false,1
QUESTIONS,iteration_3,true,1
QUIET,iteration_3,false,1
RABBIT,iteration_3,false,1
RACCOON,iteration_3,false,1
RAIN,iteration_2,false,1
RAIN,iteration_3,false,3
READ,iteration_2,false,1
READ,iteration_3,false,1
READING AND PHONICS,iteration_3,false,1
READING BOOK,iteration_2,true,1
READING BOOK,iteration_3,true,1
REMEMBER,iteration_3,true,1
RIMSKY-KORSAKAV,iteration_3,false,1
RIVER AVIARY,iteration_3,false,1
ROMANTIC ERA,iteration_3,true,1
RUN,iteration_3,false,1
SAD,iteration_2,false,1
SAD,iteration_3,false,2
SAD,iteration_3,true,1
SAINT SEANS,iteration_3,false,1
SANTA,iteration_3,false,1
SAXOPHONE,iteration_3,false,1
SAY HELLO TO,iteration_2,true,1
SEAHORSE,iteration_3,false,1
SEASONAL,iteration_2,true,2
SEASONAL,iteration_3,true,4
SEASONAL AND HOLIDAYS,iteration_3,true,1
SECOND OLD HOUSE,iteration_3,false,1
SEE,iteration_2,false,1
SEE,iteration_3,false,1
SEED BALL,iteration_1,false,1
SEED BALL,iteration_2,false,1
SEED BALL,iteration_3,false,1
SENSORY BOWL,iteration_3,false,1
SENTENCE BOOK,iteration_2,false,1
SENTENCE BOOK,iteration_3,false,1
SHOWER,iteration_1,false,1
SICK MEDICINE,iteration_3,false,1
SICK OUCH,iteration_3,false,1
SIERRA,iteration_2,false,1
SIERRA,iteration_3,false,1
SISTERS,iteration_2,true,1
SIT,iteration_3,false,1
"SKITTLES, SQUEE AND YAYA",iteration_2,false,1
SLOW,iteration_3,false,3
SMELL,iteration_2,false,1
SMELL,iteration_3,false,1
SNOWFLAKE,iteration_3,false,1
SNOWMAN,iteration_3,false,1
SNUGGLE,iteration_1,false,1
SNUGGLE,iteration_2,false,1
SNUGGLE,iteration_3,false,2
SOFA BASKET,iteration_2,false,1
SOMEONE ELSE,iteration_3,false,1
SOMETHING ELSE,iteration_2,false,1
SOMETHING ELSE,iteration_3,false,1
SOUP,iteration_3,false,1
SPACE SKY,iteration_3,true,1
SPAGHETTI,iteration_2,false,1
SPAGHETTI,iteration_3,false,1
SPELLING,iteration_3,false,1
SPRING,iteration_2,false,1
SPRING,iteration_3,false,2
SPRING,iteration_3,true,1
SPRING CARTOONS,iteration_3,false,1
SPRING MUSIC,iteration_3,false,1
SPROUTS,iteration_3,false,1
SQUIRREL,iteration_3,false,2
SQUIRREL MUSIC,iteration_3,false,1
SQUIRRELS,iteration_3,true,1
STARS CLOSE BIG,iteration_3,false,1
STARS FAR SMALL,iteration_3,false,1
SUMMER,iteration_2,false,1
SUMMER,iteration_3,false,2
SUMMER,iteration_3,true,1
SUMMER CARTOON,iteration_3,false,1
SUMMER MUSIC,iteration_3,false,1
SUN,iteration_3,false,2
SUN CLOSE BIG,iteration_3,false,1
SUN FAR SMALL,iteration_3,false,1
SUNFLOWER SEEDS,iteration_2,false,1
SUNFLOWER SEEDS,iteration_3,false,1
SWEEP BROOM,iteration_3,false,1
SWIM,iteration_3,false,1
TABLET,iteration_3,false,2
TABLET GAME,iteration_3,false,1
TABLET GAMES,iteration_3,true,1
TACO,iteration_1,false,1
TALK ABOUT,iteration_2,true,2
TALK ABOUT,iteration_3,false,11
TALK ABOUT,iteration_3,true,1
TALK ABOUT FEELINGS,iteration_3,false,1
TALK OR LEARN,iteration_3,false,1
TASTE,iteration_2,false,1
TASTE,iteration_3,false,1
TCHAIKOVSKY,iteration_3,false,1
TEA,iteration_1,false,1
TEA,iteration_2,false,1
TEA,iteration_3,false,1
TEA ROOM AVIARY,iteration_3,false,1
TECHNO DANCE,iteration_3,false,1
TELL A STORY,iteration_3,false,1
TEMP AND WEATHER,iteration_2,false,1
TEMP AND WEATHER,iteration_2,true,1
TEMP AND WEATHER,iteration_3,true,1
TEMPERATURE,iteration_3,true,1
THEME,iteration_2,true,1
THEME,iteration_3,true,1
THEMES,iteration_2,true,1
THUNDER,iteration_3,false,1
TILLIE,iteration_2,false,2
TILLIE,iteration_3,false,10
TILLIE'S HOUSE,iteration_3,false,1
TILLIE'S OLD HOUSE,iteration_3,false,1
TIME,iteration_3,true,1
TO DRINK,iteration_1,true,1
TO DRINK,iteration_2,true,1
TO DRINK,iteration_3,true,1
TO EAT,iteration_1,true,1
TO EAT,iteration_2,true,1
TO EAT,iteration_3,true,1
TO PLAY,iteration_1,true,1
