Line Number,Location path code,selection,source,word,menu,menu_ff
2751,,TALK ABOUT FEELINGS,FINAL,Talk about feelings,,REMEMBER
2752,,TALK ABOUT FEELINGS,FINAL,Talk about feelings,,REMEMBER
2753,,TALK ABOUT FEELINGS,FINAL,Talk about feelings,,REMEMBER
2754,,TALK ABOUT FEELINGS,FINAL,Talk about feelings,,REMEMBER
2755,,TALK ABOUT FEELINGS,FINAL,Talk about feelings,,REMEMBER
2756,,TALK ABOUT FEELINGS,FINAL,Talk about feelings,,REMEMBER
2757,,TALK ABOUT FEELINGS,FINAL,Talk about feelings,,REMEMBER
2758,,TALK ABOUT FEELINGS,FINAL,Talk about feelings,,REMEMBER
2759,,TALK ABOUT FEELINGS,FINAL,Talk about feelings,,REMEMBER
2760,,TALK ABOUT FEELINGS,FINAL,Talk about feelings,,REMEMBER
2761,,TALK ABOUT,FINAL,Talk about ,,REMEMBER
2762,,MOONLIGHT,FINAL,Moonlight,,REMEMBER
2763,,HAPPY,MENU,,HAPPY,HAPPY
2764,,I FEEL HAPPY,FINAL,I feel happy,,HAPPY
2765,,I WANT TO FEEL HAPPY,FINAL,I want to feel happy,,HAPPY
2766,,I WILL FEEL HAPPY,FINAL,I will feel happy,,HAPPY
2767,,I FELT HAPPY,FINAL,I felt happy,,HAPPY
2768,,I FELT HAPPY,FINAL,I felt happy,,HAPPY
2769,,I WANT TO FEEL HAPPY,FINAL,I want to feel happy,,HAPPY
2770,,I WANT TO FEEL HAPPY,FINAL,I want to feel happy,,HAPPY
2771,,I WANT TO FEEL HAPPY,FINAL,I want to feel happy,,HAPPY
2772,,I WANT TO FEEL HAPPY,FINAL,I want to feel happy,,HAPPY
2773,,I WANT TO FEEL HAPPY,FINAL,I want to feel happy,,HAPPY
2774,,I WANT TO FEEL HAPPY,FINAL,I want to feel happy,,HAPPY
2775,,I FEEL HAPPY,FINAL,I feel happy,,HAPPY
2776,,I FEEL HAPPY,FINAL,I feel happy,,HAPPY
2777,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
2778,,BODY,MENU,,BODY,BODY
2779,,I FEEL GOOD,FINAL,I feel good,,BODY
2780,,I FEEL GOOD,FINAL,I feel good,,BODY
2781,,I FEEL GOOD,FINAL,I feel good,,BODY
2782,,I FEEL GOOD,FINAL,I feel good,,BODY
2783,,I FEEL GOOD,FINAL,I feel good,,BODY
2784,,NO LIKE,FINAL,No like,,BODY
2785,,I FEEL GOOD,FINAL,I feel good,,BODY
2786,,OUCH,FINAL,Ouch,,BODY
2787,,NO LIKE,FINAL,No like,,BODY
2788,,OUCH,FINAL,Ouch,,BODY
2789,,I FEEL GOOD,FINAL,I feel good,,BODY
2790,,I FEEL GOOD,FINAL,I feel good,,BODY
2791,,I FEEL GOOD,FINAL,I feel good,,BODY
2792,,I FEEL GOOD,FINAL,I feel good,,BODY
2793,,I FEEL GOOD,FINAL,I feel good,,BODY
2794,,DESCRIPTIONS AND PREFERENCES,MENU,,DESCRIPTIONS AND PREFERENCES,DESCRIPTIONS AND PREFERENCES
2795,,MOVEMENT,MENU,,MOVEMENT,MOVEMENT
2796,,JUMP,FINAL,Jump,,MOVEMENT
2797,,RUN,FINAL,Run,,MOVEMENT
2798,,JUMP,FINAL,Jump,,MOVEMENT
2799,,SLOW,FINAL,Slow,,MOVEMENT
2800,,SLOW,FINAL,Slow,,MOVEMENT
2801,,SLOW,FINAL,Slow,,MOVEMENT
2802,,LIKE,FINAL,Like ,,MOVEMENT
2803,,FAST,FINAL,Fast,,MOVEMENT
2804,,JUMP,FINAL,Jump,,MOVEMENT
2805,,DESCRIPTIONS AND PREFERENCES,MENU,,DESCRIPTIONS AND PREFERENCES,DESCRIPTIONS AND PREFERENCES
2807,,FIX PLEASE,MENU,,FIX PLEASE,FIX PLEASE
2808,,DOWN LOW,FINAL,Down low,,FIX PLEASE
2809,,OUTSIDE,FINAL,Outside,,FIX PLEASE
2810,,BLUE,FINAL,Blue,,FIX PLEASE
2811,,TABLET,FINAL,Tablet,,FIX PLEASE
2812,,DOWN LOW,FINAL,Down low,,FIX PLEASE
2813,,DOWN LOW,FINAL,Down low,,FIX PLEASE
2814,,BROKEN,FINAL,Broken,,FIX PLEASE
2815,,OUTSIDE,FINAL,Outside,,FIX PLEASE
2816,,TABLET,FINAL,Tablet,,FIX PLEASE
2817,,TABLET,FINAL,Tablet,,FIX PLEASE
2818,,TABLET,FINAL,Tablet,,FIX PLEASE
2819,,TABLET,FINAL,Tablet,,FIX PLEASE
2820,,TABLET,FINAL,Tablet,,FIX PLEASE
2821,,DESCRIPTIONS AND PREFERENCES,MENU,,DESCRIPTIONS AND PREFERENCES,DESCRIPTIONS AND PREFERENCES
2822,,FIX PLEASE,MENU,,FIX PLEASE,FIX PLEASE
2823,,BLUE,FINAL,Blue,,FIX PLEASE
2824,,FIX,FINAL,Fix,,FIX PLEASE
2825,,WHITE,FINAL,White,,FIX PLEASE
2826,,BLUE,FINAL,Blue,,FIX PLEASE
2827,,BLUE,FINAL,Blue,,FIX PLEASE
2828,,WHITE,FINAL,White,,FIX PLEASE
2829,,BLUE,FINAL,Blue,,FIX PLEASE
