,Line Number,Location path code,L1,L2,L3,L4,L5,Category,Training/ Spontaneous,How Discovered?,Utterance: Single word or phrase,Type of Sign,Type of Sign 2,,,,,absolute X,absolute Y,relative X,relative Y,Notes,# boxes on screen,"Cori's double check - yellow are different, white are still the same"
49,49,BHC,B        Say hello to,BH Bird Friends,BHC Little Lou,,,Family & Friends,Trained,,Phrase,Photo,Iconic,,,,,-1,1,1,0,,,4
50,50,BHD,B        Say hello to,BH Bird Friends,"BHD Skittles, Squee and Yaya",,,Family & Friends,Trained,,Phrase,Photo,Iconic,,,,,1,1,2,0,,,4
51,51,BJ,B        Say hello to,BJ     Sisters,,,,Navigation,Trained,,Single Word,Photo,Iconic,,,,,1,-1,1,-1,,11,11
52,52,C,C         Experience,,,,,Navigation,Trained,,Single Word,Drawing,Not-Iconic,,,,,-1,1,-1,1,,12,12
53,53,CD,C         Experience,CD   Touch,,,,Action,Trained,,Single Word,Abstract Sign,Not-Iconic,,,,,1,1,1,1,,12,12
54,54,CE,C         Experience,CE    See,,,,Action,Trained,,Single Word,Abstract Sign,Not-Iconic,,,,,2,1,2,1,,12,12
55,55,CF,C         Experience,CF    Hear,,,,Action,Trained,,Single Word,Abstract Sign,Not-Iconic,,,,,3,1,3,1,,12,12
56,56,CJ,C         Experience,CJ     Read,,,,Socio-Cognitive,Trained,,Single Word,Abstract Sign,Not-Iconic,,,,,1,-1,1,-1,,12,12
57,57,CK,C         Experience,CK   Taste,,,,Action,Trained,,Single Word,Drawing,Not-Iconic,,,,,2,-1,2,-1,,12,12
58,58,CL,C         Experience,CL    Smell,,,,Action,Trained,,Single Word,Photo,Not-Iconic,,,,,3,-1,3,-1,,12,12
59,59,D,D        To play,,,,,Navigation,Trained,,Phrase,Drawing,Not-Iconic,,,,,1,1,1,1,,12,12
60,60,DB,D        To play,DB   Snuggle,,,,Action,Trained,,Single Word,Drawing,Not-Iconic,,,,,-2,1,-2,1,,12,12
61,61,DC,D        To play,DC   Book,,,,Navigation,Trained,,Single Word,Drawing,Iconic,,,,,-1,1,-1,1,,12,12
62,62,DCB,D        To play,DC   Book,DCB Touch and Feel,,,Socio-Cognitive,Trained,,Phrase,Photo,Not-Iconic,,,,,-2,1,-2,1,prev y=0,6,7
63,63,DCD,D        To play,DC   Book,DCD Pop Up ,,,Socio-Cognitive,Trained,,Phrase,Photo,Not-Iconic,,,,,1,1,1,1,prev y=0,6,7
64,64,DCE,D        To play,DC   Book,DCE Reading Book,,,Navigation,Trained,,Phrase,Photo,Not-Iconic,,,,,2,1,2,1,prev y=0,6,7
65,65,DCEB,D        To play,DC   Book,DCE Reading Book,DCEB One Word,,Socio-Cognitive,Trained,,Phrase,Abstract Sign,Not-Iconic,DCEB One Word,,,,-2,1,0,0,,3,3
